,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount
0,5,6792,1145,662,5,32,12,0.0,0
1,5,6792,1145,662,5,49,6,0.0,0
2,5,6792,1145,662,5,64,6,0.0,0
3,5,6792,1145,662,5,83,2,0.0,0
4,5,6792,1145,662,5,96,4,0.0,0
5,5,6792,1145,662,5,108,14,0.0,1
6,5,6792,1145,662,5,197,9,0.0,1
7,5,6792,1145,662,5,199,4,0.0,0
8,5,6792,1145,662,5,217,6,0.0,4
9,5,6792,1145,662,5,299,8,0.0,0
10,5,6792,1145,662,5,306,8,0.0,2
11,5,6792,1145,662,5,314,11,0.0,1
12,5,6792,1145,662,5,329,11,0.0,0
13,5,6792,1145,662,5,398,14,0.0,1
14,5,6792,1145,662,5,504,4,0.0,0
15,5,6792,1145,662,5,550,11,0.0,0
16,5,6792,1145,662,5,560,9,0.0,2
17,5,6792,1145,662,5,562,10,1005.0,1
18,5,6792,1145,662,5,569,3,0.0,0
19,5,6792,1145,662,5,593,3,0.0,1
20,5,6792,1145,662,5,616,6,0.0,0
21,5,6792,1145,662,5,617,9,0.0,1
22,5,6792,1145,662,5,634,7,0.0,0
23,5,6792,1145,662,5,772,11,0.0,1
24,5,6792,1145,662,5,774,7,0.0,0
25,5,6792,1145,662,5,776,2,0.0,0
26,5,6792,1145,662,5,827,13,0.0,6
27,5,6792,1145,662,5,898,5,725.0,1
28,5,6792,1145,662,5,1134,4,0.0,0
29,5,6792,1145,662,5,1135,3,0.0,0
30,5,6792,1145,662,5,1136,1,0.0,2
31,5,6792,1145,662,5,1165,1,0.0,0
32,5,6792,1145,662,5,1199,4,0.0,0
33,5,6792,1145,662,5,1235,4,0.0,1
34,5,6792,1145,662,5,1309,2,0.0,3
35,5,6792,1145,662,5,1451,8,0.0,1
36,5,6792,1145,662,5,1491,10,0.0,3
37,5,6792,1145,662,5,1503,1,0.0,1
38,5,6792,1145,662,5,1504,4,0.0,0
39,5,6792,1145,662,5,1546,5,0.0,1
