the,451
I,353
to,300
and,238
a,229
,229
of,154
it,149
for,134
is,133
my,129
that,117
in,113
magazine,112
this,100
not,97
was,92
have,89
on,82
subscription,68
National,65
be,60
with,58
but,58
Geographic,56
they,54
you,53
has,53
as,49
received,45
issues,44
me,43
one,42
The,41
or,41
been,38
from,38
issue,38
at,36
read,34
can,33
are,33
about,32
no,32
get,29
magazine.,27
just,27
It,27
will,27
when,26
only,26
would,26
them,26
more,26
Amazon,25
all,25
like,25
This,25
up,24
their,23
same,23
time,23
never,23
articles,22
so,22
subscription.,22
used,22
now,22
great,21
Kindle,21
by,21
first,21
out,21
year,21
than,20
if,20
They,20
already,19
your,19
NG,19
had,19
back,18
Not,18
magazines,18
an,18
through,18
since,17
any,17
months,17
into,17
should,17
ordered,17
old,16
new,16
two,16
don't,16
go,16
very,16
then,16
do,16
good,16
over,15
it's,15
order,15
am,15
its,14
it.,14
science,14
years,14
too,14
article,14
some,14
still,14
because,14
money,14
much,13
after,13
what,13
3,13
digital,13
got,13
copy,13
last,13
subscribe,12
It's,12
reading,12
No,12
longer,12
even,12
three,12
kindle,12
love,12
app,12
review,12
better,12
take,11
going,11
want,11
we,11
getting,11
way,11
receive,11
publication,11
content,11
If,11
there,11
paid,10
I've,10
I'm,10
disappointed,10
political,10
A,10
customer,10
ago,10
pictures,10
years.,10
But,10
access,10
other,10
And,10
purchased,10
told,10
bought,10
being,9
service,9
yet,9
really,9
issues.,9
download,9
these,9
left,9
My,9
give,9
interesting,9
2,9
Nat,9
another,9
.,9
little,8
-,8
were,8
lot,8
need,8
version,8
gift,8
day,8
gone,8
tried,8
world,8
cancelled,8
may,8
know,8
enjoyed,8
12,8
subscribed,8
how,8
issue.,8
When,8
didn't,8
people,8
started,8
Now,8
once,8
However,8
off,8
which,8
see,8
find,8
while,8
month,8
renew,8
Geo,8
directly,8
become,8
start,8
written,7
subscriber,7
took,7
weeks,7
problem,7
think,7
does,7
before,7
Then,7
publication.,7
well,7
scientific,7
worth,7
Fire,7
whole,7
price,7
several,7
available,7
quality,7
trying,7
he,7
Don't,7
time.,7
December,7
Great,7
must,7
What,7
facts,6
articles.,6
takes,6
something,6
could,6
every,6
our,6
Very,6
site,6
history,6
liberal,6
nothing,6
this.,6
such,6
website,6
June,6
around,6
In,6
sure,6
change,6
again.,6
enjoy,6
asked,6
6,6
year.,6
can't,5
next,5
also,5
Magazine,5
Amazon.,5
anything,5
made,5
print,5
past,5
right,5
product,5
subject,5
use,5
turn,5
buying,5
sad,5
turned,5
down,5
one.,5
those,5
Just,5
geography,5
address,5
Fox,5
Singapore,5
she,5
went,5
star,5
canceled,5
year's,5
here,5
NatGeo,5
older,5
So,5
late,5
problem.,5
lost,5
make,5
long,5
call,5
store,5
Have,5
pay,5
free,5
until,5
instead,5
review.,5
deal,5
receiving,5
downloaded,5
Why,5
environmental,5
national,5
look,5
far,5
always,5
credit,5
less,5
ever,5
show,4
TO,4
who,4
many,4
recommend,4
day.,4
says,4
July,4
view,4
garbage,4
rate,4
times,4
came,4
nature,4
renewing,4
NOT,4
comes,4
